"name","Rk","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","X90s","Gls","Ast","G.A","G.PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG.xAG","PrgC","PrgP","PrgR","G.A.PK","xG.xAG","Rk_stats_shooting","Nation_stats_shooting","Pos_stats_shooting","Comp_stats_shooting","Age_stats_shooting","Born_stats_shooting","X90s_stats_shooting","Gls_stats_shooting","Sh","SoT","SoT.","Sh.90","SoT.90","G.Sh","G.SoT","Dist","FK","PK_stats_shooting","PKatt_stats_shooting","xG_stats_shooting","npxG_stats_shooting","npxG.Sh","G.xG","np.G.xG","Rk_stats_passing","Nation_stats_passing","Pos_stats_passing","Comp_stats_passing","Age_stats_passing","Born_stats_passing","X90s_stats_passing","Cmp","Att","Cmp.","TotDist","PrgDist","Ast_stats_passing","xAG_stats_passing","xA","A.xAG","KP","X1.3","PPA","CrsPA","PrgP_stats_passing","Rk_stats_passing_types","Nation_stats_passing_types","Pos_stats_passing_types","Comp_stats_passing_types","Age_stats_passing_types","Born_stats_passing_types","X90s_stats_passing_types","Att_stats_passing_types","Live","Dead","FK_stats_passing_types","TB","Sw","Crs","TI","CK","In","Out","Str","Cmp_stats_passing_types","Off","Blocks","Rk_stats_gca","Nation_stats_gca","Pos_stats_gca","Comp_stats_gca","Age_stats_gca","Born_stats_gca","X90s_stats_gca","SCA","SCA90","PassLive","PassDead","TO","Sh_stats_gca","Fld","Def","GCA","GCA90","Rk_stats_defense","Nation_stats_defense","Pos_stats_defense","Comp_stats_defense","Age_stats_defense","Born_stats_defense","X90s_stats_defense","Tkl","TklW","Def.3rd","Mid.3rd","Att.3rd","Att_stats_defense","Tkl.","Lost","Blocks_stats_defense","Sh_stats_defense","Pass","Int","Tkl.Int","Clr","Err","Rk_stats_possession","Nation_stats_possession","Pos_stats_possession","Comp_stats_possession","Age_stats_possession","Born_stats_possession","X90s_stats_possession","Touches","Def.Pen","Def.3rd_stats_possession","Mid.3rd_stats_possession","Att.3rd_stats_possession","Att.Pen","Live_stats_possession","Att_stats_possession","Succ","Succ.","Tkld","Tkld.","Carries","TotDist_stats_possession","PrgDist_stats_possession","PrgC_stats_possession","X1.3_stats_possession","CPA","Mis","Dis","Rec","PrgR_stats_possession","Rk_stats_playing_time","Nation_stats_playing_time","Pos_stats_playing_time","Comp_stats_playing_time","Age_stats_playing_time","Born_stats_playing_time","MP_stats_playing_time","Min_stats_playing_time","Mn.MP","Min.","X90s_stats_playing_time","Starts_stats_playing_time","Mn.Start","Compl","Subs","Mn.Sub","unSub","PPM","onG","onGA","X...","X...90","On.Off","onxG","onxGA","xG...","xG...90","Rk_stats_misc","Nation_stats_misc","Pos_stats_misc","Comp_stats_misc","Age_stats_misc","Born_stats_misc","X90s_stats_misc","CrdY_stats_misc","CrdR_stats_misc","X2CrdY","Fls","Fld_stats_misc","Off_stats_misc","Crs_stats_misc","Int_stats_misc","TklW_stats_misc","PKwon","PKcon","OG","Recov","Won","Lost_stats_misc","Won.","Rk_stats_keeper","Nation_stats_keeper","Pos_stats_keeper","Comp_stats_keeper","Age_stats_keeper","Born_stats_keeper","MP_stats_keeper","Starts_stats_keeper","Min_stats_keeper","X90s_stats_keeper","GA","GA90","SoTA","Saves","Save.","W","D","L","CS","CS.","PKatt_stats_keeper","PKA","PKsv","PKm","Rk_stats_keeper_adv","Nation_stats_keeper_adv","Pos_stats_keeper_adv","Comp_stats_keeper_adv","Age_stats_keeper_adv","Born_stats_keeper_adv","X90s_stats_keeper_adv","GA_stats_keeper_adv","PKA_stats_keeper_adv","FK_stats_keeper_adv","CK_stats_keeper_adv","OG_stats_keeper_adv","PSxG","PSxG.SoT","PSxG...","X.90","Cmp_stats_keeper_adv","Att_stats_keeper_adv","Cmp._stats_keeper_adv","Att..GK.","Thr","Launch.","AvgLen","Opp","Stp","Stp.","X.OPA","X.OPA.90","AvgDist","player_id","player_slug","player_name","player_image_url","name_in_home_country","date_of_birth","place_of_birth","country_of_birth","height","citizenship","is_eu","position","main_position","foot","current_club_id","current_club_name","joined","contract_expires","outfitter","social_media_url","player_agent_id","player_agent_name","contract_option","date_of_last_contract_extension","on_loan_from_club_id","on_loan_from_club_name","contract_there_expires","second_club_url","second_club_name","third_club_url","third_club_name","fourth_club_url","fourth_club_name","date_of_death","date_unix","value","date"
"Takumi Minamino",1752,"jp JPN","MF","Monaco","fr Ligue 1",29,1995,31,27,2231,24.8,6,3,9,6,0,0,4,0,8.9,8.9,6.6,15.5,51,114,193,0.36,0.62,1752,"jp JPN","MF,FW","fr Ligue 1",29,1995,24.8,6,57,20,35.1,2.3,0.81,0.11,0.3,14.7,0,0,0,8.9,8.9,0.16,-2.9,-2.9,1752,"jp JPN","MF,FW","fr Ligue 1",29,1995,24.8,520,736,70.7,7341,2545,3,6.6,4.8,-3.6,40,66,33,0,114,1752,"jp JPN","MF,FW","fr Ligue 1",29,1995,24.8,736,714,15,2,15,2,23,6,0,0,0,0,520,7,30,1752,"jp JPN","MF,FW","fr Ligue 1",29,1995,24.8,80,3.23,67,0,6,6,0,1,7,0.28,1752,"jp JPN","MF,FW","fr Ligue 1",29,1995,24.8,33,19,7,14,12,42,35.7,27,26,1,25,10,43,20,0,1752,"jp JPN","MF,FW","fr Ligue 1",29,1995,24.8,1016,24,95,451,479,135,1016,40,12,30,24,60,567,3076,1496,51,28,27,56,23,709,193,2159,"jp JPN","MF,FW","fr Ligue 1",29,1995,31,2231,72,72.9,24.8,27,78,9,4,28,0,1.74,43,29,14,0.56,-0.3,49.5,24.9,24.6,0.99,1752,"jp JPN","MF,FW","fr Ligue 1",29,1995,24.8,4,0,0,31,23,10,23,10,19,0,0,0,88,19,30,38.8,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165793,"takumi-minamino","Takumi Minamino (165793)","https://img.a.transfermarkt.technology/portrait/header/165793-1737490576.jpg","南野 拓実","1995-01-16","Izumisano, Osaka","Japan",172,"Japan","False","Attack - Left Winger","Attack","right",162,"AS Monaco","2022-07-01","2027-06-30","adidas","http://www.instagram.com/takumi18minamino_official/",1681,"Sarcle Co. Ltd.","","2025-03-04",NA,"","","","","","","","","","2025-06-02",1.5e+07,2025-06-02
"Steve Ngoura",1892,"fr FRA","FW","Le Havre","fr Ligue 1",19,2005,8,2,289,3.2,0,0,0,0,0,0,0,0,1.3,1.3,0.4,1.7,3,8,19,0,0.54,1892,"fr FRA","FW","fr Ligue 1",19,2005,3.2,0,10,2,20,3.11,0.62,0,0,11.9,0,0,0,1.3,1.3,0.13,-1.3,-1.3,1892,"fr FRA","FW","fr Ligue 1",19,2005,3.2,37,57,64.9,556,181,0,0.4,0.1,-0.4,2,2,2,0,8,1892,"fr FRA","FW","fr Ligue 1",19,2005,3.2,57,49,8,0,0,0,2,0,0,0,0,0,37,0,4,1892,"fr FRA","FW","fr Ligue 1",19,2005,3.2,6,1.87,1,0,2,2,1,0,0,0,1892,"fr FRA","FW","fr Ligue 1",19,2005,3.2,4,2,1,1,2,3,100,0,2,1,1,0,4,2,0,1892,"fr FRA","FW","fr Ligue 1",19,2005,3.2,106,3,9,45,56,18,106,12,7,58.3,5,41.7,54,277,104,3,5,1,14,9,74,19,2334,"fr FRA","FW","fr Ligue 1",19,2005,8,289,36,9.4,3.2,2,84,0,6,20,1,0.38,1,10,-9,-2.8,-2.09,3,7,-4,-1.25,1892,"fr FRA","FW","fr Ligue 1",19,2005,3.2,0,0,0,5,1,2,2,0,2,0,0,0,7,5,6,45.5,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,923838,"steve-ngoura","Steve Ngoura (923838)","https://img.a.transfermarkt.technology/portrait/header/923838-1753174730.jpg","Steve Eyrolle Ngoura","2005-02-22","Ivry-sur-Seine","France",193,"France  Cameroon","True","Attack - Centre-Forward","Attack","right",520,"Cercle Brugge","2025-01-07","2028-06-30","adidas","",2496,"Sport Avenir ...","club option 1 year","",NA,"","","","","","","","","","2025-06-11",8e+05,2025-06-11
"Steve Mandanda",1599,"fr FRA","GK","Rennes","fr Ligue 1",39,1985,18,17,1486,16.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1,0,0.01,1599,"fr FRA","GK","fr Ligue 1",39,1985,16.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1599,"fr FRA","GK","fr Ligue 1",39,1985,16.5,353,499,70.7,9384,6967,0,0.1,0,-0.1,2,8,0,0,0,1599,"fr FRA","GK","fr Ligue 1",39,1985,16.5,499,388,111,38,0,0,0,0,0,0,0,0,353,0,0,1599,"fr FRA","GK","fr Ligue 1",39,1985,16.5,4,0.24,3,1,0,0,0,0,0,0,1599,"fr FRA","GK","fr Ligue 1",39,1985,16.5,0,0,0,0,0,1,0,1,0,0,0,0,0,6,2,1599,"fr FRA","GK","fr Ligue 1",39,1985,16.5,523,418,519,4,0,0,523,2,2,100,0,0,305,1511,930,0,0,0,2,1,273,1,1970,"fr FRA","GK","fr Ligue 1",39,1985,18,1486,83,48.6,16.5,17,87,16,1,1,16,1.11,23,23,0,0,-0.06,21,18.3,2.7,0.16,1599,"fr FRA","GK","fr Ligue 1",39,1985,16.5,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0,100,100,"fr FRA","GK","fr Ligue 1",39,1985,18,17,1486,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,100,"fr FRA","GK","fr Ligue 1",39,1985,16.5,23,2,0,2,2,17,0.29,-4,-0.24,61,180,33.9,426,66,33.6,32.7,175,7,4,21,1.27,15.7,23951,"steve-mandanda","Steve Mandanda (23951)","https://img.a.transfermarkt.technology/portrait/header/23951-1666698933.jpg","","1985-03-28","Kinshasa","France",187,"France  DR Congo","True","Goalkeeper","Goalkeeper","right",123,"Retired","2025-09-10","","Puma","http://twitter.com/stevemandanda",877,"SMI SPORTS ...","","",NA,"","","","","","","","","","2025-09-09",0,2025-09-09
"Soungoutou Magassa",1565,"fr FRA","MF","Monaco","fr Ligue 1",20,2003,21,12,1025,11.4,0,1,1,0,0,0,5,1,0.5,0.5,0.9,1.4,6,63,11,0.09,0.12,1565,"fr FRA","MF","fr Ligue 1",20,2003,11.4,0,8,3,37.5,0.7,0.26,0,0,19,0,0,0,0.5,0.5,0.06,-0.5,-0.5,1565,"fr FRA","MF","fr Ligue 1",20,2003,11.4,540,638,84.6,9268,2731,1,0.9,0.7,0.1,7,67,10,2,63,1565,"fr FRA","MF","fr Ligue 1",20,2003,11.4,638,621,13,13,4,7,7,0,0,0,0,0,540,4,9,1565,"fr FRA","MF","fr Ligue 1",20,2003,11.4,19,1.67,19,0,0,0,0,0,1,0.09,1565,"fr FRA","MF","fr Ligue 1",20,2003,11.4,47,25,14,27,6,46,54.3,21,16,3,13,21,68,19,1,1565,"fr FRA","MF","fr Ligue 1",20,2003,11.4,781,29,164,519,107,8,781,23,15,65.2,6,26.1,386,1720,749,6,9,1,12,13,500,11,1933,"fr FRA","MF","fr Ligue 1",20,2003,21,1025,49,33.5,11.4,12,73,4,9,16,4,1.86,19,19,0,0,-0.97,22.4,15.9,6.5,0.57,1565,"fr FRA","MF","fr Ligue 1",20,2003,11.4,5,1,0,28,20,0,7,21,25,0,0,0,90,13,21,38.2,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,745181,"soungoutou-magassa","Soungoutou Magassa (745181)","https://img.a.transfermarkt.technology/portrait/header/745181-1666691600.jpg","","2003-10-08","Stains","France",190,"France  Mali","True","Midfield - Defensive Midfield","Midfield","right",379,"West Ham United","2025-08-29","2031-06-30","adidas","",NA,"Relatives","","",NA,"","","","","","","","","","2025-06-02",1.2e+07,2025-06-02
"Soumaïla Coulibaly",619,"fr FRA","DF","Brest","fr Ligue 1",20,2003,7,5,438,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,16,0,0,0.05,619,"fr FRA","DF","fr Ligue 1",20,2003,4.9,0,4,0,0,0.82,0,0,NA,12.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,619,"fr FRA","DF","fr Ligue 1",20,2003,4.9,281,317,88.6,5923,1657,0,0.1,0.2,-0.1,1,12,1,0,16,619,"fr FRA","DF","fr Ligue 1",20,2003,4.9,317,302,15,9,0,16,0,0,0,0,0,0,281,0,1,619,"fr FRA","DF","fr Ligue 1",20,2003,4.9,8,1.64,5,0,0,2,1,0,3,0.62,619,"fr FRA","DF","fr Ligue 1",20,2003,4.9,4,2,2,2,0,1,100,0,7,2,5,5,9,26,0,619,"fr FRA","DF","fr Ligue 1",20,2003,4.9,370,50,211,150,10,5,370,2,0,0,2,100,226,940,471,1,2,0,3,0,247,0,764,"fr FRA","DF","fr Ligue 1",20,2003,7,438,63,14.3,4.9,5,77,3,2,26,6,1.86,6,5,1,0.21,0.48,6.7,5.9,0.8,0.17,619,"fr FRA","DF","fr Ligue 1",20,2003,4.9,1,0,0,12,1,0,0,5,2,1,0,0,19,8,6,57.1,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659513,"soumaila-coulibaly","Soumaïla Coulibaly (659513)","https://img.a.transfermarkt.technology/portrait/header/659513-1657285323.jpg","","2003-10-14","Montfermeil","France",191,"France  Mali","True","Defender - Centre-Back","Defender","left",667,"RC Strasbourg Alsace","2025-07-07","2029-06-30","Puma","http://www.instagram.com/scoulibaly_/",13531,"Epic Coulibaly","","",NA,"","","","","","","","","","2025-06-02",8e+06,2025-06-02
"Sorba Thomas",2589,"wls WAL","FW","Nantes","fr Ligue 1",24,1999,25,15,1321,14.7,1,3,4,1,0,0,3,0,1.5,1.5,3.7,5.2,41,34,93,0.27,0.35,2589,"wls WAL","FW,MF","fr Ligue 1",24,1999,14.7,1,9,1,11.1,0.61,0.07,0.11,1,17,0,0,0,1.5,1.5,0.17,-0.5,-0.5,2589,"wls WAL","FW,MF","fr Ligue 1",24,1999,14.7,360,550,65.5,6320,2228,3,3.7,3,-0.7,36,27,24,17,34,2589,"wls WAL","FW,MF","fr Ligue 1",24,1999,14.7,550,456,93,18,0,1,130,22,53,22,25,0,360,1,16,2589,"wls WAL","FW,MF","fr Ligue 1",24,1999,14.7,54,3.68,36,16,0,1,1,0,6,0.41,2589,"wls WAL","FW,MF","fr Ligue 1",24,1999,14.7,14,6,7,5,2,18,55.6,8,12,2,10,9,23,27,1,2589,"wls WAL","FW,MF","fr Ligue 1",24,1999,14.7,674,25,111,276,303,20,674,24,9,37.5,14,58.3,372,2173,1059,41,29,7,26,25,427,93,3186,"wls WAL","FW,MF","fr Ligue 1",24,1999,25,1321,53,43.2,14.7,15,74,1,10,21,4,1.16,19,25,-6,-0.41,-0.05,17.1,23.4,-6.3,-0.43,2589,"wls WAL","FW,MF","fr Ligue 1",24,1999,14.7,3,0,0,13,17,2,130,9,6,0,0,0,66,7,17,29.2,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475416,"sorba-thomas","Sorba Thomas (475416)","https://img.a.transfermarkt.technology/portrait/header/475416-1668520548.jpg","Benjamin Sorba William Thomas","1999-01-25","London","Wales",185,"Wales  England","True","Attack - Right Winger","Attack","right",512,"Stoke City","2025-07-01","2028-06-30","","http://www.instagram.com/sorbathomas_20/",440,"Wasserman","","",NA,"","","","","","","","","","2025-06-02",3500000,2025-06-02
"Sofiane Diop",742,"fr FRA","MF","Nice","fr Ligue 1",24,2000,28,8,1064,11.8,6,4,10,6,0,0,3,0,6,6,2.9,8.9,26,64,70,0.85,0.75,742,"fr FRA","MF,FW","fr Ligue 1",24,2000,11.8,6,22,11,50,1.86,0.93,0.27,0.55,16.4,3,0,0,6,6,0.27,0,0,742,"fr FRA","MF,FW","fr Ligue 1",24,2000,11.8,436,565,77.2,6822,2216,4,2.9,2.8,1.1,24,47,19,1,64,742,"fr FRA","MF,FW","fr Ligue 1",24,2000,11.8,565,523,40,14,16,7,33,3,22,7,8,0,436,2,12,742,"fr FRA","MF,FW","fr Ligue 1",24,2000,11.8,47,3.98,37,4,0,2,4,0,9,0.76,742,"fr FRA","MF,FW","fr Ligue 1",24,2000,11.8,23,16,16,3,4,22,40.9,13,19,2,17,17,40,7,1,742,"fr FRA","MF,FW","fr Ligue 1",24,2000,11.8,714,17,101,347,277,35,714,31,10,32.3,20,64.5,399,2069,944,26,19,4,20,18,508,70,922,"fr FRA","MF,FW","fr Ligue 1",24,2000,28,1064,38,34.8,11.8,8,81,2,20,21,1,1.86,26,19,7,0.59,-0.22,24.7,17,7.7,0.65,742,"fr FRA","MF,FW","fr Ligue 1",24,2000,11.8,3,0,0,17,19,3,33,17,16,0,0,0,73,3,8,27.3,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569389,"sofiane-diop","Sofiane Diop (569389)","https://img.a.transfermarkt.technology/portrait/header/569389-1756824417.jpg","سفيان داودا ديوب","2000-06-09","Tours","Morocco",175,"Morocco  France","True","Attack - Left Winger","Attack","right",417,"OGC Nice","2022-08-29","2027-06-30","adidas","http://twitter.com/sofianediop",NA,"no agent","","",NA,"","","","","","","","","","2025-06-02",1e+07,2025-06-02
"Simon Cara",476,"fr FRA","MF","Montpellier","fr Ligue 1",19,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,476,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,476,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,4,6,66.7,70,1,0,0,0,0,0,0,0,0,0,476,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,476,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,0,0,0,0,0,0,0,0,0,0,476,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,476,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,7,0,0,2,5,1,7,1,0,0,1,100,5,17,5,0,0,0,0,0,5,1,587,"fr FRA","MF,FW","fr Ligue 1",19,2005,2,9,5,0.3,0.1,0,NA,0,2,5,1,0,0,1,-1,-10,-8.38,0.1,1.4,-1.3,-12.8,476,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017912,"simon-cara","Simon Cara (1017912)","https://img.a.transfermarkt.technology/portrait/header/default.jpg","","2005-03-31","Montpellier","France",182,"France","True","Midfield - Attacking Midfield","Midfield","right",2580,"Istres Football Club","2025-08-05","","","",NA,"","","",NA,"","","","","","","","","","2025-06-02",50000,2025-06-02
"Shavy Babicka",195,"ga GAB","MF","Toulouse","fr Ligue 1",24,2000,30,11,1186,13.2,4,2,6,4,0,0,2,0,3.9,3.9,1.6,5.5,36,21,122,0.46,0.42,195,"ga GAB","MF,FW","fr Ligue 1",24,2000,13.2,4,20,9,45,1.52,0.68,0.2,0.44,14.6,0,0,0,3.9,3.9,0.2,0.1,0.1,195,"ga GAB","MF,FW","fr Ligue 1",24,2000,13.2,196,292,67.1,2616,643,2,1.6,1.9,0.4,13,8,13,5,21,195,"ga GAB","MF,FW","fr Ligue 1",24,2000,13.2,292,279,11,1,1,3,39,9,0,0,0,0,196,2,12,195,"ga GAB","MF,FW","fr Ligue 1",24,2000,13.2,29,2.2,20,1,3,0,3,2,5,0.38,195,"ga GAB","MF,FW","fr Ligue 1",24,2000,13.2,21,12,6,11,4,21,47.6,11,14,0,14,3,24,4,3,195,"ga GAB","MF,FW","fr Ligue 1",24,2000,13.2,428,4,46,145,252,53,428,37,11,29.7,21,56.8,273,1708,871,36,17,14,28,18,300,122,241,"ga GAB","MF,FW","fr Ligue 1",24,2000,30,1186,40,38.8,13.2,11,75,2,19,19,2,1.23,19,22,-3,-0.23,-0.42,23.3,16.6,6.7,0.51,195,"ga GAB","MF,FW","fr Ligue 1",24,2000,13.2,2,0,0,16,21,7,39,3,12,0,0,0,54,7,17,29.2,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916920,"shavy-babicka","Shavy Babicka (916920)","https://img.a.transfermarkt.technology/portrait/header/916920-1668887323.jpg","Shavy Warren Babicka","2000-06-01","Libreville","Gabon",179,"Gabon","False","Attack - Right Winger","Attack","right",159,"Red Star Belgrade","2025-08-02","2028-06-30","","",14790,"L’ARC Management","Option for a further year","",NA,"","","","","","","","","","2025-06-02",2500000,2025-06-02
"Sergio Akieme",66,"es ESP","DF","Reims","fr Ligue 1",26,1997,30,29,2523,28,2,3,5,2,0,0,5,0,1.5,1.5,2.5,4,55,86,97,0.18,0.14,66,"es ESP","DF","fr Ligue 1",26,1997,28,2,26,7,26.9,0.93,0.25,0.08,0.29,20.1,1,0,0,1.5,1.5,0.06,0.5,0.5,66,"es ESP","DF","fr Ligue 1",26,1997,28,929,1147,81,13641,4062,3,2.5,2.5,0.5,21,42,20,12,86,66,"es ESP","DF","fr Ligue 1",26,1997,28,1147,952,190,25,0,1,94,152,11,9,0,0,929,5,19,66,"es ESP","DF","fr Ligue 1",26,1997,28,37,1.32,29,4,0,2,2,0,3,0.11,66,"es ESP","DF","fr Ligue 1",26,1997,28,34,23,30,3,1,36,61.1,14,26,9,17,17,51,97,4,66,"es ESP","DF","fr Ligue 1",26,1997,28,1436,100,524,548,377,34,1436,31,13,41.9,17,54.8,710,4339,2357,55,36,5,31,19,817,97,85,"es ESP","DF","fr Ligue 1",26,1997,30,2523,84,82.5,28,29,87,23,1,13,0,0.8,24,39,-15,-0.54,-0.7,30.9,49.4,-18.5,-0.66,66,"es ESP","DF","fr Ligue 1",26,1997,28,5,0,0,25,21,1,94,17,23,0,0,0,109,19,26,42.2,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355627,"sergio-akieme","Sergio Akieme (355627)","https://img.a.transfermarkt.technology/portrait/header/355627-1723835849.png","Sergio Akieme Rodríguez","1997-12-16","Madrid","Spain",175,"Spain  Equatorial Guinea","True","Defender - Left-Back","Defender","left",1421,"Stade Reims","2024-02-01","2028-06-30","","http://www.instagram.com/sergioakieme3/",13796,"AS1","","",NA,"","","","","","","","","","2025-06-02",7e+06,2025-06-02
"Senny Mayulu",1685,"fr FRA","MF","Paris S-G","fr Ligue 1",18,2006,20,8,808,9,2,2,4,2,0,0,1,0,2.9,2.9,2.1,4.9,29,46,56,0.45,0.55,1685,"fr FRA","MF","fr Ligue 1",18,2006,9,2,25,8,32,2.78,0.89,0.08,0.25,15.9,0,0,0,2.9,2.9,0.12,-0.9,-0.9,1685,"fr FRA","MF","fr Ligue 1",18,2006,9,404,460,87.8,6268,1045,2,2.1,2,-0.1,12,32,14,1,46,1685,"fr FRA","MF","fr Ligue 1",18,2006,9,460,427,31,7,0,4,9,13,4,2,0,0,404,2,12,1685,"fr FRA","MF","fr Ligue 1",18,2006,9,38,4.23,28,0,0,5,2,3,6,0.67,1685,"fr FRA","MF","fr Ligue 1",18,2006,9,25,16,8,14,3,14,57.1,6,8,3,5,5,30,12,0,1685,"fr FRA","MF","fr Ligue 1",18,2006,9,592,17,75,265,257,40,592,33,15,45.5,17,51.5,341,1753,765,29,19,8,21,21,438,56,2072,"fr FRA","MF","fr Ligue 1",18,2006,20,808,40,26.4,9,8,81,4,12,13,9,2.4,26,9,17,1.89,0.29,28.9,8.2,20.7,2.31,1685,"fr FRA","MF","fr Ligue 1",18,2006,9,1,0,0,20,18,0,9,5,16,0,0,0,32,1,10,9.1,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903693,"senny-mayulu","Senny Mayulu (903693)","https://img.a.transfermarkt.technology/portrait/header/903693-1716562599.jpg","Senny Nsona Mayulu","2006-05-17","Le Blanc-Mesnil","France",183,"France  DR Congo","True","Midfield - Central Midfield","Midfield","both",583,"Paris Saint-Germain","2024-01-01","2027-06-30","Nike","http://www.instagram.com/s.mayulu",5024,"ESN","","2024-05-20",NA,"","","","","","","","","","2025-06-02",1.5e+07,2025-06-02
