"date","name","Age","Pos","Squad","MP","Min","G.A","xG.xAG","KP","Tkl.Int","Save.","value","JoueEurope"
2025-06-02,"Folarin Balogun",23,"FW","Monaco",13,615,4,0.82,6,2,0,1.8e+07,TRUE
2025-06-02,"Fodé Ballo-Touré",27,"DF","Le Havre",10,589,0,0.02,1,12,0,1200000,FALSE
2025-06-02,"Florian Tardieu",32,"MF","Saint-Étienne",24,1252,6,0.15,19,33,0,6e+05,FALSE
2025-06-02,"Florian Sotoca",33,"FW","Lens",31,1794,2,0.31,18,36,0,2e+06,FALSE
2025-06-02,"Florian Ayé",27,"FW","Auxerre",26,575,2,0.32,3,9,0,1200000,FALSE
2025-06-02,"Florent Mollet",32,"MF","Nantes",9,242,0,0.24,6,3,0,1200000,FALSE
2025-06-02,"Florent Hanin",34,"DF","Angers",33,2672,3,0.1,25,116,0,3e+05,FALSE
2025-06-02,"Félix Lemaréchal",20,"MF","Strasbourg",27,1779,7,0.32,29,49,0,1e+07,TRUE
2025-06-02,"Farid El Melali",27,"FW","Angers",32,1893,5,0.32,25,44,0,3500000,FALSE
2025-06-02,"Falaye Sacko",29,"DF","Montpellier",16,1233,1,0.01,7,27,0,1500000,FALSE
2025-06-02,"Facundo Medina",25,"DF","Lens",29,2543,1,0.13,24,76,0,2.5e+07,FALSE
2025-06-02,"Fabien Centonze",28,"DF","Nantes",7,265,0,0.05,3,10,0,1800000,FALSE
2025-06-02,"Evann Guessand",23,"FW","Nice",33,2565,20,0.51,32,59,0,2.5e+07,TRUE
2025-06-02,"Ethan Mbappé",17,"MF","Lille",10,222,0,1.05,6,7,0,5e+06,TRUE
2025-06-02,"Eros Maddy",23,"DF","Auxerre",2,15,0,0.52,1,0,0,150000,FALSE
2025-06-02,"Ernest Nuamah",20,"FW","Lyon",23,1052,4,0.32,18,29,0,1.5e+07,TRUE
2025-06-02,"Enzo Tchato",21,"DF","Montpellier",27,1899,0,0.08,14,70,0,2500000,FALSE
2025-07-23,"Enzo Caumont",20,"MF","Angers",2,34,0,0,0,2,0,0,FALSE
2025-06-04,"Emmanuel Sabbi",26,"FW","Le Havre",15,653,0,0.35,4,17,0,1500000,FALSE
