"date","name","Age","Pos","Squad","MP","Min","G.A","xG.xAG","KP","Tkl.Int","Save.","value","JoueEurope"
2025-06-02,"Teddy Teuma",30,"MF","Reims",17,750,1,0.3,13,30,0,3e+06,FALSE
2025-06-02,"Tanner Tessmann",22,"MF","Lyon",25,1234,1,0.11,7,44,0,6e+06,TRUE
2025-06-02,"Tanguy Coulibaly",23,"FW","Montpellier",25,1485,3,0.31,18,43,0,1500000,FALSE
2025-06-02,"Takumi Minamino",29,"MF","Monaco",31,2231,9,0.62,40,43,0,1.5e+07,TRUE
2025-06-11,"Steve Ngoura",19,"FW","Le Havre",8,289,0,0.54,2,4,0,8e+05,FALSE
2025-09-09,"Steve Mandanda",39,"GK","Rennes",18,1486,0,0.01,2,0,58.8,0,FALSE
2025-06-02,"Soungoutou Magassa",20,"MF","Monaco",21,1025,1,0.12,7,68,0,1.2e+07,TRUE
2025-06-02,"Soumaïla Coulibaly",20,"DF","Brest",7,438,0,0.05,1,9,0,8e+06,FALSE
2025-06-02,"Sorba Thomas",24,"FW","Nantes",25,1321,4,0.35,36,23,0,3500000,FALSE
2025-06-02,"Sofiane Diop",24,"MF","Nice",28,1064,10,0.75,24,40,0,1e+07,TRUE
2025-06-02,"Simon Cara",19,"MF","Montpellier",2,9,0,0,0,0,0,50000,FALSE
2025-06-02,"Shavy Babicka",24,"MF","Toulouse",30,1186,6,0.42,13,24,0,2500000,FALSE
2025-06-02,"Sergio Akieme",26,"DF","Reims",30,2523,5,0.14,21,51,0,7e+06,FALSE
2025-06-02,"Senny Mayulu",18,"MF","Paris S-G",20,808,4,0.55,12,30,0,1.5e+07,TRUE
2025-06-02,"Seko Fofana",29,"MF","Rennes",16,844,2,0.31,13,18,0,1e+07,FALSE
2025-06-02,"Sebastian Nanasi",22,"MF","Strasbourg",31,2107,10,0.49,37,27,0,1.8e+07,TRUE
2025-06-01,"Samuel Grandsir",27,"MF","Le Havre",6,84,0,0.67,3,5,0,8e+05,FALSE
2025-06-02,"Saïmon Bouabré",18,"MF","Monaco",3,97,0,0,0,1,0,3e+05,TRUE
2025-06-23,"Saïd Benrahma",28,"FW","Lyon",13,735,4,0.49,14,12,0,1e+07,TRUE
2025-06-02,"Rudy Matondo",16,"MF","Auxerre",5,66,0,0,0,1,0,3e+05,FALSE
2025-06-02,"Ruben Aguilar",31,"DF","Lens",16,1124,3,0.21,11,47,0,3500000,FALSE
2025-06-02,"Romain Faivre",26,"MF","Brest",20,899,5,0.45,10,17,0,6e+06,FALSE
2025-06-02,"Romain Del Castillo",28,"FW","Brest",26,1259,10,0.58,37,37,0,7e+06,FALSE
2025-06-02,"Robinio Vaz",17,"FW","Marseille",2,75,0,0.61,0,1,0,150000,TRUE
2025-06-02,"Rémy Labeau Lascary",21,"FW","Lens",14,637,3,0.51,7,17,0,2e+06,FALSE
2025-06-02,"Rémy Descamps",28,"GK","Lyon",1,90,0,0,0,0,66.7,1200000,TRUE
2025-06-02,"Rémy Cabella",34,"FW","Lille",23,1011,3,0.55,26,47,0,2500000,TRUE
2025-06-02,"Reda Khadra",23,"MF","Reims",4,78,0,0.03,1,1,0,2e+06,FALSE
2025-06-09,"Rayan Raveloson",27,"MF","Auxerre",13,724,1,0.12,3,11,0,2e+06,FALSE
2025-06-02,"Rayan Fofana",18,"FW","Lens",2,25,0,0,0,2,0,50000,FALSE
2025-06-02,"Rayan Cherki",20,"FW","Lyon",30,2041,19,0.71,75,22,0,4.5e+07,TRUE
2025-06-02,"Rassoul Ndiaye",22,"MF","Le Havre",27,1061,1,0.2,10,47,0,2e+06,FALSE
2025-06-02,"Rasmus Nicolaisen",27,"DF","Toulouse",7,623,1,0.1,2,16,0,4500000,FALSE
2025-06-02,"Rafik Messali",21,"DF","Toulouse",13,456,1,0.25,11,25,0,8e+05,FALSE
2025-06-02,"Rabby Nzingoula",18,"MF","Montpellier",27,1689,1,0.14,8,93,0,2500000,FALSE
2025-06-02,"Quentin Merlin",22,"DF","Marseille",27,1589,4,0.28,25,36,0,1.5e+07,TRUE
2025-06-02,"Prosper Peter",16,"MF","Angers",2,27,0,0,0,2,0,50000,FALSE
2025-06-02,"Presnel Kimpembe",28,"DF","Paris S-G",2,23,0,0,0,1,0,5e+06,TRUE
2025-06-02,"Pol Lirola",26,"DF","Marseille",19,680,3,0.17,8,17,0,4e+06,TRUE
2025-06-02,"Pierrick Capelle",37,"MF","Angers",16,483,0,0.26,5,35,0,2e+05,FALSE
2025-06-02,"Pierre Lees-Melou",31,"MF","Brest",20,1526,4,0.24,19,60,0,6e+06,FALSE
2025-06-02,"Pierre Cornud",27,"DF","Saint-Étienne",11,576,0,0.05,3,21,0,8e+05,FALSE
2025-06-02,"Philipp Köhn",26,"GK","Monaco",19,1710,0,0,0,0,71.4,5e+06,TRUE
2025-06-02,"Pedro Chirivella",27,"MF","Nantes",30,2348,2,0.09,19,63,0,5e+06,FALSE
2025-06-02,"Paul Joly",24,"DF","Auxerre",26,1009,1,0.17,16,74,0,1800000,FALSE
2025-06-02,"Paul Akouokou",26,"MF","Lyon",2,19,0,0,0,2,0,8e+05,TRUE
2025-06-02,"Patrik Carlgren",32,"GK","Nantes",5,417,0,0,0,0,75,6e+05,FALSE
2025-06-02,"Pablo Rosario",27,"MF","Nice",29,1775,4,0.22,16,61,0,8e+06,TRUE
2025-05-27,"Oussama Targhalline",22,"MF","Le Havre",14,990,0,0.08,6,38,0,4e+06,FALSE
2025-06-02,"Ousmane Dembélé",27,"FW","Paris S-G",29,1730,27,1.29,63,20,0,9e+07,TRUE
2025-06-23,"Ousmane Camara",21,"DF","Angers",3,252,0,0.04,1,4,0,5e+05,FALSE
2025-06-02,"Oumar Diakité",20,"FW","Reims",26,1628,5,0.36,11,23,0,6e+06,FALSE
2025-06-02,"Othmane Maamma",18,"FW","Montpellier",12,361,2,0.29,3,4,0,6e+05,FALSE
2025-06-02,"Óscar Perea",18,"MF","Strasbourg",2,14,0,0.09,0,0,0,2e+06,TRUE
2025-05-29,"Orel Mangala",26,"MF","Lyon",1,67,0,0.1,1,1,0,1.8e+07,TRUE
2025-06-02,"Nuno Mendes",22,"DF","Paris S-G",24,1676,4,0.39,30,48,0,7e+07,TRUE
2025-06-01,"Nordine Kandil",22,"MF","Strasbourg",1,10,0,0,0,0,0,1e+06,TRUE
2025-06-02,"Noham Kamara",17,"DF","Paris S-G",2,76,0,0,0,2,0,5e+05,TRUE
2025-06-02,"Noah Edjouma",18,"MF","Toulouse",10,171,2,0.7,1,4,0,8e+05,FALSE
2025-06-02,"Nikola Maksimović",32,"DF","Montpellier",7,581,0,0.01,2,15,0,3e+05,FALSE
2025-06-02,"Niklas Schmidt",26,"MF","Toulouse",9,205,1,0.34,5,7,0,1800000,FALSE
2025-06-02,"Nicolás Tagliafico",31,"DF","Lyon",24,1902,4,0.18,5,93,0,6e+06,TRUE
2025-06-02,"Nicolas Pays",20,"FW","Montpellier",9,447,0,0.29,3,17,0,7e+05,FALSE
2025-06-02,"Nicolas Pallois",36,"DF","Nantes",26,2017,2,0.04,3,89,0,4e+05,FALSE
2025-06-02,"Nicolas Cozza",25,"DF","Nantes",27,2051,1,0.12,7,84,0,3500000,FALSE
2025-06-02,"Nhoa Sangui",18,"DF","Reims",26,1158,2,0.05,5,24,0,2500000,FALSE
2025-06-02,"Neil El Aynaoui",23,"MF","Lens",24,1588,9,0.34,22,69,0,1.5e+07,FALSE
2025-06-02,"Neal Maupay",27,"FW","Marseille",22,1042,8,0.54,13,11,0,8e+06,TRUE
2025-06-02,"Naouirou Ahamada",22,"MF","Rennes",3,58,0,0.03,0,2,0,3500000,FALSE
2025-06-02,"Nampalys Mendy",32,"MF","Lens",10,588,1,0.04,1,24,0,1800000,FALSE
2025-06-02,"Nabil Bentaleb",29,"MF","Lille",10,329,1,0.21,1,9,0,6e+06,TRUE
2025-06-01,"Naatan Skyttä",22,"FW","Toulouse",1,5,0,0,0,1,0,3e+06,FALSE
2025-06-02,"Mostafa Mohamed",26,"FW","Nantes",30,1252,5,0.43,6,28,0,5e+06,FALSE
2025-06-02,"Moses Simon",29,"FW","Nantes",32,2609,18,0.43,56,32,0,1.2e+07,FALSE
2025-06-02,"Mory Gbane",23,"DF","Reims",13,1125,1,0.06,7,38,0,4e+06,FALSE
2025-06-02,"Morgan Sanson",29,"MF","Nice",6,235,3,0.6,1,10,0,5e+06,TRUE
2025-06-02,"Moïse Bombito",24,"DF","Nice",27,2192,0,0.04,2,55,0,1e+07,TRUE
2025-06-02,"Mohammed Salisu",25,"DF","Monaco",15,1023,1,0.07,3,44,0,1.2e+07,TRUE
2025-06-02,"Mohamed Daramy",22,"FW","Reims",2,16,0,0.51,1,0,0,4e+06,FALSE
2025-06-01,"Mohamed Bamba",19,"MF","Reims",2,10,0,0,0,0,0,5e+06,FALSE
2025-06-02,"Modibo Sagnan",25,"DF","Montpellier",27,2141,2,0.06,6,86,0,3e+06,FALSE
2025-05-27,"Milos Lukovic",18,"FW","Strasbourg",2,12,0,0,0,0,0,5e+06,TRUE
2025-06-17,"Milan Škriniar",29,"DF","Paris S-G",5,382,0,0.06,1,10,0,1.5e+07,TRUE
2025-06-02,"Mika Biereth",21,"FW","Monaco",16,1228,15,1.16,22,9,0,3e+07,TRUE
2025-06-02,"Miha Zajc",30,"MF","Toulouse",19,262,0,0.1,3,7,0,1500000,FALSE
2025-06-02,"Melvin Zinga",22,"GK","Angers",1,90,0,0,0,0,75,3e+05,FALSE
2025-06-02,"Melvin Bard",23,"DF","Nice",24,1938,3,0.19,15,82,0,1.5e+07,TRUE
2025-06-02,"Maxime Bernauer",26,"DF","Saint-Étienne",11,763,0,0.01,1,14,0,2e+06,FALSE
2025-06-02,"Matthis Abline",21,"FW","Nantes",34,2768,11,0.4,27,15,0,1.8e+07,FALSE
2025-06-02,"Mathieu Gorgelin",33,"GK","Le Havre",16,1440,0,0,0,2,63.4,3e+05,FALSE
2025-06-01,"Mathieu Cafaro",27,"MF","Saint-Étienne",15,732,1,0.34,13,17,0,2500000,FALSE
2025-06-02,"Mathias Pereira Lage",27,"FW","Brest",29,1571,9,0.39,22,57,0,2500000,FALSE
2025-06-02,"Mathew Ryan",32,"GK","Lens",14,1260,0,0,0,2,75.8,2500000,FALSE
2025-06-02,"Mathéo Bodmer",20,"MF","Le Havre",1,6,0,0,0,0,0,50000,FALSE
2025-06-02,"Massadio Haïdara",31,"DF","Brest",22,1678,0,0.04,8,53,0,1500000,FALSE
2025-06-02,"Mason Greenwood",22,"FW","Marseille",34,2804,26,0.71,47,47,0,4e+07,TRUE
2025-06-02,"Marwann Nzuzi",20,"DF","Saint-Étienne",2,125,0,0.08,1,4,0,2e+05,FALSE
2025-06-09,"Marvin Senaya",23,"DF","Strasbourg",10,227,0,0.06,2,15,0,1800000,TRUE
2025-06-01,"Martin Adeline",20,"MF","Reims",1,26,0,0,0,1,0,7e+05,FALSE
2025-09-04,"Marquinhos",30,"DF","Paris S-G",22,1725,2,0.1,9,41,0,5e+06,TRUE
2025-06-02,"Mark McKenzie",25,"DF","Toulouse",30,2496,2,0.07,4,74,0,6e+06,FALSE
2025-06-02,"Marius Courcoul",17,"MF","Angers",8,309,0,0.04,1,10,0,3e+05,FALSE
2025-06-02,"Marcus Coco",28,"DF","Nantes",20,951,1,0.12,10,38,0,1200000,FALSE
2025-06-02,"Marco Bizot",33,"GK","Brest",32,2880,0,0,0,2,64.1,3e+06,FALSE
2025-06-02,"Mamadou Sarr",18,"DF","Strasbourg",27,2365,1,0.04,5,62,0,2e+07,TRUE
2025-06-02,"Mamadou Diakhon",18,"FW","Reims",28,858,3,0.23,13,16,0,3e+06,FALSE
2025-06-02,"Mamadou Coulibaly",20,"MF","Monaco",1,8,0,0.85,0,1,0,2e+05,TRUE
2025-06-02,"Malick Fofana",19,"FW","Lyon",29,1589,9,0.43,25,30,0,3e+07,TRUE
2025-06-02,"Malcolm Jeng",19,"DF","Reims",3,107,0,0,0,3,0,2e+06,FALSE
2025-06-02,"Malang Sarr",25,"DF","Lens",21,1385,0,0.04,5,43,0,5e+06,FALSE
2025-06-02,"Mahdi Camara",26,"MF","Brest",34,2659,8,0.21,26,104,0,9e+06,FALSE
2025-06-02,"Mahamadou Nagida",19,"DF","Rennes",12,430,2,0.38,3,17,0,8e+05,FALSE
2025-06-02,"Mahamadou Diawara",19,"MF","Le Havre",15,582,1,0.12,7,33,0,2e+06,FALSE
2025-06-02,"Maghnes Akliouche",22,"FW","Monaco",32,2406,15,0.62,49,66,0,4.5e+07,TRUE
2025-06-26,"Luiz Felipe",27,"DF","Marseille",4,122,0,0,0,7,0,6e+05,TRUE
2025-06-02,"Luis Henrique",22,"DF","Marseille",33,2613,14,0.29,53,26,0,2.5e+07,TRUE
2025-06-02,"Ludovic Blas",26,"MF","Rennes",29,2293,14,0.38,47,51,0,1.8e+07,FALSE
2025-06-02,"Ludovic Ajorque",30,"FW","Brest",31,2495,15,0.49,35,32,0,4e+06,FALSE
2025-06-02,"Luck Zogbé",19,"DF","Brest",13,638,0,0.06,4,46,0,2500000,FALSE
2025-06-02,"Lucas Stassin",19,"FW","Saint-Étienne",28,1887,16,0.53,18,19,0,1.8e+07,FALSE
2025-06-02,"Lucas Perri",26,"GK","Lyon",33,2970,0,0,1,1,74.4,1e+07,TRUE
2025-06-02,"Lucas Mincarelli",20,"DF","Montpellier",10,715,1,0.11,3,26,0,9e+05,FALSE
2025-06-02,"Lucas Michal",19,"FW","Monaco",8,117,0,0.87,1,6,0,5e+05,TRUE
2025-06-02,"Lucas Hernández",28,"DF","Paris S-G",16,877,0,0.01,1,31,0,2.5e+07,TRUE
2025-06-02,"Lucas Chevalier",22,"GK","Lille",34,3060,0,0.03,3,3,74.6,3e+07,TRUE
2025-06-02,"Lucas Beraldo",20,"DF","Paris S-G",25,2011,1,0.06,8,59,0,2.5e+07,TRUE
2025-06-02,"Louis Mouton",22,"MF","Saint-Étienne",24,1045,1,0.22,16,59,0,7e+05,FALSE
2025-06-02,"Louis Leroux",18,"MF","Nantes",16,816,3,0.31,12,33,0,4e+06,FALSE
2025-06-02,"Lorenz Assignon",24,"DF","Rennes",32,2357,7,0.22,29,74,0,9e+06,FALSE
2025-06-02,"Loïc Nego",33,"DF","Le Havre",31,2459,0,0.05,13,87,0,7e+05,FALSE
2025-06-02,"Lilian Raolisoa",24,"DF","Angers",29,1318,3,0.18,14,56,0,8e+05,FALSE
2025-06-02,"Lilian Brassier",24,"DF","Rennes",14,1234,2,0.13,6,37,0,1e+07,FALSE
2025-06-02,"Leonardo Balerdi",25,"DF","Marseille",27,2273,0,0.07,8,92,0,2e+07,TRUE
2025-06-02,"Léo Pétrot",27,"DF","Saint-Étienne",31,2634,3,0.08,16,104,0,9e+05,FALSE
2025-06-02,"Lasso Coulibaly",21,"FW","Auxerre",3,45,1,0.69,1,1,0,1200000,FALSE
2025-06-02,"Lassine Sinayoko",24,"FW","Auxerre",34,2299,13,0.47,37,46,0,4e+06,FALSE
2025-08-25,"Lanroy Machine",18,"FW","Angers",2,8,0,0.62,0,0,0,3e+05,FALSE
2025-06-02,"Lamine Fomba",26,"MF","Saint-Étienne",7,217,0,0.13,1,12,0,6e+05,FALSE
2025-06-02,"Lamine Camara",20,"MF","Monaco",29,2054,9,0.29,44,97,0,2.2e+07,TRUE
2025-06-02,"Kyogo Furuhashi",29,"FW","Rennes",6,123,0,0.09,0,2,0,9e+06,FALSE
2025-06-02,"Kyllian Antonio",16,"DF","Lens",3,139,0,0.03,0,6,0,3e+05,FALSE
2025-06-02,"Krépin Diatta",25,"DF","Monaco",19,508,0,0.17,4,27,0,7e+06,TRUE
2025-06-02,"Kjetil Haug",26,"GK","Toulouse",6,498,0,0,0,0,56.3,6e+05,FALSE
2025-06-02,"Ki-Jana Hoever",22,"DF","Auxerre",30,2124,3,0.13,24,72,0,5e+06,FALSE
2025-06-02,"Khvicha Kvaratskhelia",23,"FW","Paris S-G",14,916,7,0.8,25,21,0,9e+07,TRUE
2025-06-02,"Khalil Fayad",20,"MF","Montpellier",20,1028,0,0.13,7,41,0,3e+06,FALSE
2025-06-02,"Keyliane Abdallah",18,"FW","Marseille",1,3,0,0,0,1,0,1e+05,TRUE
2025-06-02,"Kévin Pedro",18,"DF","Saint-Étienne",1,10,0,0,0,5,0,50000,FALSE
2025-06-02,"Kévin Danois",20,"MF","Auxerre",22,1460,0,0.23,25,69,0,8e+06,FALSE
2025-06-02,"Kenny Lala",32,"DF","Brest",30,2686,5,0.24,41,91,0,2e+06,FALSE
2025-05-25,"Kembo Diliwidi",18,"DF","Lens",1,4,0,0,0,0,0,50000,FALSE
2025-06-02,"Kelvin Amian",26,"DF","Nantes",30,2165,1,0.08,13,68,0,2500000,FALSE
2025-06-02,"Keito Nakamura",24,"FW","Reims",32,2649,13,0.41,26,37,0,8e+06,FALSE
2025-06-02,"Kazeem Olaigbe",21,"MF","Rennes",10,299,2,0.67,15,6,0,5e+06,FALSE
2025-06-02,"Kassoum Ouattara",19,"DF","Monaco",12,391,1,0.31,6,14,0,7e+06,TRUE
2025-06-11,"Karol Fila",26,"MF","Strasbourg",1,5,0,0,0,0,0,6e+05,TRUE
2025-06-02,"Karl-Johan Johnsson",34,"GK","Strasbourg",3,270,0,0,0,0,77.3,3e+05,TRUE
2025-06-01,"Kandet Diawara",24,"FW","Le Havre",1,4,0,0,0,0,0,4e+05,FALSE
2025-06-02,"Kamory Doumbia",21,"MF","Brest",30,1322,5,0.27,26,69,0,4e+06,FALSE
2025-06-02,"Justin Bourgault",18,"DF","Brest",2,122,1,0.15,1,2,0,8e+05,FALSE
2025-06-02,"Junya Ito",31,"FW","Reims",33,2690,7,0.39,82,58,0,6e+06,FALSE
2025-06-02,"Junior Ndiaye",19,"FW","Montpellier",15,441,0,0.19,5,3,0,150000,FALSE
2025-06-02,"Junior Mwanga",21,"MF","Strasbourg",8,296,0,0.01,1,19,0,6e+06,TRUE
2025-06-02,"Juma Bah",18,"DF","Lens",10,686,0,0.03,2,33,0,6e+06,FALSE
2025-06-02,"Julien Le Cardinal",26,"DF","Brest",16,1378,1,0.05,5,60,0,2e+06,FALSE
2025-06-02,"Jubal",30,"DF","Auxerre",30,2640,6,0.21,6,85,0,2500000,FALSE
2025-09-09,"Jota",25,"FW","Rennes",9,334,1,0.44,5,8,0,2e+05,FALSE
2025-06-02,"Josué Casimir",22,"FW","Le Havre",27,1997,8,0.3,26,44,0,4e+06,FALSE
2025-06-02,"Joshua King",32,"FW","Toulouse",28,1673,9,0.47,17,17,0,1800000,FALSE
2025-06-02,"Joseph Okumu",27,"DF","Reims",22,1695,1,0.06,4,55,0,7e+06,FALSE
2025-06-02,"Joris Chotard",22,"MF","Montpellier",26,1892,1,0.09,7,58,0,6e+06,FALSE
2025-06-02,"Jordan Veretout",31,"MF","Lyon",27,1553,2,0.14,13,35,0,4e+06,TRUE
2025-06-02,"Jordan Teze",24,"DF","Monaco",16,569,1,0.43,13,24,0,9e+06,TRUE
2025-05-27,"Jordan Lotomba",25,"MF","Nice",2,35,0,0,0,0,0,6500000,TRUE
2025-06-02,"Jordan Lefort",30,"DF","Angers",34,3060,1,0.05,10,84,0,1500000,FALSE
2025-06-02,"Jordan James",20,"MF","Rennes",23,1178,1,0.21,24,44,0,8e+06,FALSE
2025-06-02,"Jordan Ferri",32,"MF","Montpellier",25,1773,2,0.07,13,51,0,2e+06,FALSE
2025-06-02,"Jordan Amavi",30,"DF","Brest",11,790,0,0.05,6,31,0,1500000,FALSE
2025-06-02,"Jonathan Gradit",31,"DF","Lens",25,2112,0,0.06,11,69,0,4e+06,FALSE
2025-06-02,"Jonathan David",24,"FW","Lille",32,2554,21,0.73,36,31,0,4.5e+07,TRUE
2025-06-02,"Jonathan Clauss",31,"DF","Nice",28,2303,11,0.39,55,100,0,5e+06,TRUE
2025-06-02,"Jonas Martin",34,"MF","Brest",17,496,1,0.14,3,21,0,6e+05,FALSE
2025-06-02,"Johann Lepenant",21,"MF","Nantes",29,2048,3,0.1,8,86,0,6e+06,FALSE
2025-06-02,"João Neves",19,"MF","Paris S-G",29,1844,11,0.34,33,86,0,8e+07,TRUE
2025-06-02,"Jim Allevinah",29,"FW","Angers",28,1750,4,0.35,15,31,0,1500000,FALSE
2025-06-02,"Jhoanner Chávez",22,"DF","Lens",10,596,1,0.15,9,15,0,3500000,FALSE
2025-06-01,"Jérémy Sebas",21,"FW","Strasbourg",13,190,0,0.35,1,3,0,7e+05,TRUE
2025-06-01,"Jérémy Le Douaron",26,"FW","Brest",2,102,0,0.14,0,1,0,3e+06,FALSE
2025-06-02,"Jérémy Jacquet",19,"DF","Rennes",11,927,1,0.16,4,53,0,1e+07,FALSE
2025-06-02,"Jeremy Agbonifo",18,"FW","Lens",8,300,1,0.26,3,8,0,5e+06,FALSE
